feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Health.Blood_urea_nitrogen_BUN(mmol/L)	6	0.7071067811865476	0.7071067811865476	4	Health
Amino.α-aminobutyric_Acid(μmol/L)	6	0.35355339059327384	0.5848871623838053	1	Amino
Amino.Hydroxyproline(μmol/L)	6	0.3535533905932739	0.28463386793762346	1	Amino
Amino.1-Methylhistidine(μmol/L)	6	0.35355339059327373	0.24126451004576926	1	Amino
Prs.Disease.infantile_hypertrophic_pyloric_stenosis	6	0.35355339059327373	0.1366821301189829	1	Prs
