feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Meta.M00099	6	0.3297056990355044	0.4632081350537177	4	Meta
Meta.M00094	6	0.32970569903550423	0.45427019754454034	4	Meta
Prs.Quant.dysmenorrheic_pain_measurement	6	0.20618258197284445	0.44272849834790584	2	Prs
Prs.Quant.hip_circumference	6	0.43591424535488804	0.33774155546163187	4	Prs
Prs.Disease.pancreatitis	6	0.20618258197284445	0.293730163862025	2	Prs
Prs.Quant.macrophage_inflammatory_protein_1a_measurement	6	0.20618258197284448	0.2354353933902252	2	Prs
Meta.M00400	6	0.36736293600175085	0.17688462586187143	4	Meta
Meta.M00403	6	0.36736293600175096	0.1748081354721977	4	Meta
Prs.Quant.alkaline_phosphatase_measurement	6	0.25462557040626516	0.17403219483053606	3	Prs
Health.Alkaline_Phosphatase(U/L)	6	0.07961548389404495	0.12878654976058249	1	Health
Prs.Quant.magnesium_measurement	6	0.2546255704062652	0.10579567123384512	3	Prs
Prs.Quant.beta-nerve_growth_factor_measurement	6	0.22973166338204365	0.0820667773973716	2	Prs
Psy.Toughness_Assessment_Score	5	0.07961548389404492	0.02539253335345125	1	Psy
