feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Psy.Psychiatric_Assessment_Score	3	0.5843140603126373	0.6228162910254497	7	Psy
Prs.Quant.attention_deficit_hyperactivity_disorder	3	0.3489622688382246	0.3985513934957216	4	Prs
Prs.Disease.attempted_suicide	3	0.37321759688710276	0.3236935837840627	4	Prs
Prs.Quant.reticulocyte_count	3	0.2570825930552684	0.2464180879594033	2	Prs
Prs.Quant.eotaxin_measurement	3	0.22193085372926558	0.2372730434469125	2	Prs
Prs.Quant.body_fat_percentage	3	0.21282109129345847	0.21413454513150842	2	Prs
Prs.Quant.alcohol_consumption_measurement	3	0.1902576117379046	0.20828990000856915	1	Prs
Meta.Barnesiella_intestinihominis	3	0.20523108540674292	0.19239016367391923	2	Meta
Meta.M00691	3	0.2351478867795607	0.18354245722981793	2	Meta
Prs.Disease.squamous_cell_lung_carcinoma	3	0.19025761173790484	0.1669346275208071	1	Prs
Meta.M00422	3	0.11362507316746384	0.11898784396722395	1	Meta
Immune.uniq.DENV2	3	0.1386365146791994	0.10412236733230318	2	Immune
Meta.M00133	3	0.06929635158066111	0.08166865441677074	1	Meta
Meta.M00569	3	0.12152281361209731	0.06989113022485371	1	Meta
Meta.M00512	3	0.09727400897227675	0.0695984580264576	2	Meta
Prs.Quant.PR_segment	3	0.0768144665041146	0.047470239200487895	2	Prs
