feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Amino.Glutamate(μmol/L)	0	0.18030942149684567	0.30398754815496626	24	Amino
Hormone.Serum_testosterone_test_value(ng/mL)	0	0.23104010447933054	0.2872274478084013	32	Hormone
Inbody.Body_fat(kg)	0	0.2194816017960181	0.26550508699100683	38	Inbody
Inbody.Body_fat_rate(%)	0	0.21812094351192668	0.2616122885723455	38	Inbody
Health.Triglyceride(mmol/L)	0	0.18728748441096138	0.2510974137366162	26	Health
Inbody.Waist_circumference(cm)	0	0.2166717487922928	0.24826335176488945	37	Inbody
Health.Serum_alanine_aminotransferase(U/L)	0	0.18509820692002824	0.24034781114739842	24	Health
Inbody.Body_mass_index	0	0.20798455941401844	0.23103007683021382	33	Inbody
Health.γ-glutamyl_transpeptidase(U/L)	0	0.19034549744700982	0.23096341796921155	26	Health
Inbody.Waist-to-hip_ratio	0	0.2065833033069968	0.2280271351241476	35	Inbody
Health.High-density_lipoprotein(mmol/L)	0	0.15536744200365024	0.21617456882899921	21	Health
Inbody.Bust(cm)	0	0.18936386321114407	0.1944074292241979	29	Inbody
Inbody.Weight(kg)	0	0.18760899867359743	0.17584944438478228	29	Inbody
Inbody.Hip_circumference(cm)	0	0.1818733293964879	0.1557186044202043	28	Inbody
Amino.α-aminoadipic_acid(μmol/L)	0	0.1751734161639441	0.1472250649455144	22	Amino
Health.Serum_uric_acid(μmol/L)	0	0.1439973996665051	0.1383779091580295	18	Health
Amino.valine(μmol/L)	0	0.15603035035341092	0.13767980118459064	18	Amino
Amino.Leucine(μmol/L)	0	0.15828379603481058	0.13337962492959593	19	Amino
ECG.Systolic_pressure(mmHg)	0	0.17885708707660217	0.12190637132924502	22	ECG
Amino.Tyrosine(μmol/L)	0	0.1476986189468262	0.10506331240351972	17	Amino
ECG.Diastolic_pressure(mmHg)	0	0.16941040270070978	0.10322646129453916	21	ECG
Phy.Sit-up/Push_up_Test	0	0.10140299591601619	0.09994751900770532	11	Phy
Health.White_blood_cell_count(G/L)	0	0.1543892110765405	0.09731851333416754	19	Health
Amino.Aspartic_acid(μmol/L)	0	0.12674337497021212	0.09247347936416428	15	Amino
Hormone.18-hydroxyprogesterone_test_value(ng/mL)	0	0.11676540805278793	0.08305859870150058	14	Hormone
Hormone.12-Deoxycorticosterone_Test_Value(ng/mL)	0	0.10874458773304638	0.08035453545398577	12	Hormone
Amino.Cystine(μmol/L)	0	0.11647439670031484	0.07753001379519446	13	Amino
Health.The_total_number_of_neutrophils(G/L)	0	0.12360955199795685	0.07659755101033391	14	Health
Health.Serum_aspartate_aminotransferase(U/L)	0	0.15050663832541075	0.07473052118026564	18	Health
Amino.Alanine(μmol/L)	0	0.13097290930284783	0.06939221946164151	15	Amino
Vitamin.B5(ng/mL)	0	0.13890065869018187	0.06089159079319318	16	Vitamin
Amino.Serine(μmol/L)	0	0.11722771010908263	0.0596179381977399	14	Amino
Amino.Phenylalanine(μmol/L)	0	0.10525439554107466	0.05952431859071397	12	Amino
ECG.RV6_range(mv)	0	0.07731924389004065	0.05202392099245256	8	ECG
Hormone.Corticosterone_test_value(ng/mL)	0	0.10054659369276704	0.04985832318456305	11	Hormone
Vitamin.A(ng/mL)	0	0.09774872958588907	0.04888422775868448	12	Vitamin
Health.Fasting_blood_glucose(mmol/L)	0	0.11785367167698467	0.04843652404505131	13	Health
Health.Monocyte_counts(G/L)	0	0.09542027931533642	0.04123384339883361	11	Health
Health.Red_blood_cell_count(T/L)	0	0.09163164372209305	0.034057967877647456	11	Health
Prs.Quant.waist_circumference	0	0.07617468260531093	0.033500425996385697	8	Prs
Microelement.Magnesium(mg/l)	0	0.07920763533402089	0.03187167269751719	9	Microelement
Hormone.Serum_cortisone_test_value(ng/mL)	0	0.056135748172899326	0.022216307937026225	6	Hormone
Prs.Disease.narcolepsy_with_cataplexy	0	0.047721696112596426	0.018581837431652367	5	Prs
Amino.Asparagine(μmol/L)	0	0.04005693496600895	0.015707241797039216	4	Amino
Amino.Citrulline(μmol/L)	0	0.0312920109573167	0.014284131231750853	3	Amino
Phy.Sit-and-reach_Test(cm)	0	0.03001595050631498	0.013450944612993251	3	Phy
Phy.Tan_Li(S)	0	0.028847578115060467	0.010729957411498278	3	Phy
Hormone.Androstenedione_test_value(ng/mL)	0	0.017478996674385325	0.009428281368074123	2	Hormone
Prs.Quant.urate_measurement	0	0.016406933064112506	0.006457488744529856	2	Prs
Prs.Disease.multiple_system_atrophy	0	0.01390289540215197	0.005630055967760705	2	Prs
Amino.Threonine(μmol/L)	0	0.013339496567350633	0.005618017460585528	2	Amino
Amino.Proline(μmol/L)	0	0.010140087144465607	0.003583547723106477	1	Amino
