feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Prs.Disease.psoriatic_arthritis	11	0.5598039258607315	0.5676505411964808	4	Prs
Prs.Disease.polymyositis	11	0.41522431757607736	0.40482548315432665	3	Prs
Meta.M00114	11	0.408523677148217	0.39521077648936426	2	Meta
Meta.M00545	11	0.4085236771482169	0.39267501732960297	2	Meta
Meta.M00167	11	0.2844929389583432	0.2875417936807555	2	Meta
Meta.M00102	11	0.2345502910444209	0.26694923997107967	1	Meta
Meta.M00616	11	0.17397338610379615	0.18887189594427833	1	Meta
Prs.Quant.A1C_measurement	11	0.119198702528147	0.1178524130775809	1	Prs
