feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Prs.Disease.non-melanoma_skin_carcinoma	9	0.6693113464689827	0.6913803038483761	20	Prs
Meta.M00480	9	0.1434824279983819	0.2907325739051997	1	Meta
Meta.M00018	9	0.20148112353557854	0.24690897036563814	3	Meta
Meta.M00033	9	0.20148112353557845	0.20516075735195663	3	Meta
Meta.Alistipes_shahii	9	0.1434824279983819	0.18566723961653692	1	Meta
Meta.M00050	9	0.17904464000016634	0.16507857115043653	3	Meta
Meta.M00541	9	0.14348242799838187	0.15623439639909165	1	Meta
Meta.M00089	9	0.1434824279983819	0.15535239269447002	1	Meta
Meta.M00260	9	0.2014811235355785	0.1524473891347275	3	Meta
Meta.M00338	9	0.1434824279983819	0.14135915010504635	1	Meta
Meta.M00247	9	0.1434824279983819	0.13770167889221993	1	Meta
Meta.M00025	9	0.14348242799838187	0.13385814696349876	1	Meta
Meta.M00479	9	0.1508913464664463	0.13383201317289356	2	Meta
Meta.M00236	9	0.14348242799838187	0.13110949358024213	1	Meta
Meta.M00159	9	0.14348242799838187	0.12249554862365142	1	Meta
Meta.M00525	9	0.15901841207702316	0.11623843730758618	2	Meta
Meta.M00140	9	0.14348242799838193	0.11175684747708385	1	Meta
Meta.M00016	9	0.16350865592152478	0.11089574237390201	2	Meta
Meta.M00024	9	0.14348242799838187	0.10913139585031445	1	Meta
Meta.M00793	9	0.1434824279983819	0.10358836365757859	1	Meta
Meta.M00221	9	0.14348242799838185	0.10253508931499372	1	Meta
Prs.Quant.gout	9	0.12957647118895663	0.09852564044082729	3	Prs
Prs.Disease.thyroid_carcinoma	9	0.1409736271400406	0.08969065142812868	4	Prs
Prs.Disease.eosinophilic_esophagitis	9	0.09341758264701704	0.043725357611119044	5	Prs
Prs.Quant.plasma_beta-amyloid_1-40_measurement	9	0.07247166477077846	0.04278623104987117	2	Prs
Prs.Disease.insomnia	9	0.03456083971338411	0.021918647126100085	2	Prs
Meta.M00120	9	0.053165017500421845	0.018921366761770347	3	Meta
Meta.M00526	9	0.020026227923142875	0.007760108515911782	1	Meta
Meta.M00527	9	0.020026227923142847	0.007752160216812992	1	Meta
Prs.Disease.migraine_without_aura	9	0.01361093197106321	0.004308725465676373	2	Prs
Meta.M00026	9	0.010326737771191308	0.003704558157064719	2	Meta
