feature	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Psy.Sleep_Diet_Assessment_Score	0.17739291862655304	0.35775536958371645	16	Psy
surveyHealth.Sleep_quality	0.18474378466151928	0.35003604869155003	10	surveyHealth
Prs.Disease.Sarcoidosis	0.19094026277814308	0.28800525682173705	12	Prs
Psy.Total_score_of_psychological_symptoms	0.25995072880072895	0.28797992462125804	21	Psy
Prs.Disease.ankylosing_spondylitis	0.18654607684014454	0.2259039845875654	10	Prs
Psy.Interpersonal_Sensitivity_Assessment_Score	0.2405840811387797	0.21270027657356583	20	Psy
Psy.Forced_symptom_evaluation_Score	0.19366725330936194	0.20445338031870042	15	Psy
Psy.Depression_Assessment_Score	0.2140613836544205	0.20268046471341877	21	Psy
Psy.Terror_Assessment_Score	0.2730977139721828	0.19979192575617669	26	Psy
Psy.Psychiatric_Assessment_Score	0.23661257366114893	0.19720453519498185	25	Psy
Prs.Disease.atopic_eczema	0.17697869574057684	0.19358740997288487	10	Prs
Prs.Disease.diabetic_nephropathy	0.20350023258765737	0.179073541906174	11	Prs
Prs.Disease.acute_lymphoblastic_leukemia	0.18429257654989642	0.177388314461057	9	Prs
Psy.Somatization_Evaluation_Score	0.15776221834542783	0.16349204295277403	18	Psy
Psy.Anxiety_Assessment_Score	0.1549620531256762	0.14835939234287054	15	Psy
Psy.Paranoid_Assessment_Score	0.2125945302742075	0.14372866120025027	23	Psy
Prs.Quant.hip_bone_mineral_density	0.1540815506952804	0.13090793791876762	8	Prs
Prs.Quant.diffusing_capacity_of_the_lung_for_carbon_monoxide	0.1522876742868806	0.12388712505246467	8	Prs
Prs.Quant.A1C_measurement	0.13206278172303376	0.12033364713150994	9	Prs
Prs.Disease.neuroblastoma	0.14267389382514356	0.11256952567815891	8	Prs
Prs.Disease.cutaneous_squamous_cell_carcinoma	0.14906478550651933	0.08891695098652794	9	Prs
Prs.Quant.attention_deficit_hyperactivity_disorder	0.12378063816678249	0.08596799441280786	9	Prs
Prs.Quant.forced_expiratory_volume	0.15553475262316907	0.08448150462295329	10	Prs
