feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Health.Percentage_of_lymphocytes(%)	7	0.4141660766239684	0.49162222688370827	7	Health
Immune.Summary_of_immune_clone_num	7	0.42347238887115324	0.47997914642871364	6	Immune
Health.Neutrophil_percentage(%)	7	0.44302323793315956	0.42432259821319424	8	Health
Prs.Quant.myeloid_white_cell_count	7	0.29553882812202703	0.3526770921326835	4	Prs
Prs.Quant.granulocyte_count	7	0.2955388281220269	0.3401119719460426	4	Prs
Prs.Quant.lymphocyte_percentage_of_leukocytes	7	0.29553882812202753	0.20189004442708974	5	Prs
Prs.Quant.neutrophil_percentage_of_leukocytes	7	0.2693856429220149	0.1829438747066575	3	Prs
Meta.M00572	7	0.18030873726426316	0.10885724181646454	2	Meta
Meta.M00497	7	0.2091658985734543	0.1030851092914882	3	Meta
Meta.M00231	7	0.12433247126692037	0.08206096463939354	2	Meta
Prs.Quant.fatty_acid_measurement	7	0.13718719734827017	0.05136801159080388	2	Prs
Meta.Lachnospiraceae_bacterium_5_1_63FAA	7	0.0621662356334603	0.035515953323239965	1	Meta
Meta.M00725	7	0.06216623563346013	0.021956895024048458	1	Meta
