feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Meta.Collinsella_aerofaciens	4	0.6027124214469447	0.6601410004576624	5	Meta
Prs.Disease.ulcerative_colitis	4	0.2763103678245307	0.459705492180394	2	Prs
Prs.Quant.platelet_crit	4	0.41223252889548756	0.3238813390553874	3	Prs
Prs.Disease.coronary_heart_disease	4	0.2763103678245309	0.27503610427138553	2	Prs
Prs.Quant.blood_urea_nitrogen_measurement	4	0.3498359591226779	0.26584791008306546	2	Prs
Prs.Quant.age_at_menarche	4	0.23448732394415545	0.1935245946192799	1	Prs
Meta.Bifidobacterium_longum	4	0.29648534534687493	0.17485593729072074	2	Meta
Meta.M00233	4	0.160380471853182	0.120278799295647	1	Meta
Meta.M00073	4	0.10749949133892711	0.1126044280348088	1	Meta
Meta.M00216	4	0.10749949133892714	0.08057613750913593	1	Meta
