feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Prs.Disease.Frontotemporal_dementia	10	0.473155438145552	0.486915493634995	4	Prs
Meta.M00403	10	0.44626030230901825	0.44103312644819725	3	Meta
Prs.Quant.CCL2_measurement	10	0.3952490279889639	0.42218430811168517	3	Prs
Meta.M00400	10	0.4462603023090179	0.4183315156607863	3	Meta
Prs.Disease.osteoarthritis_hip	10	0.3318448242565506	0.2731704869939307	2	Prs
Meta.M00032	10	0.2041429003765512	0.24779041100022875	2	Meta
Meta.Ruminococcus_obeum	10	0.17053018192270786	0.21036429680467209	2	Meta
Meta.M00063	10	0.17592219429448092	0.15759219278407002	1	Meta
Prs.Disease.migraine_without_aura	10	0.07590162574192966	0.07852860292004178	1	Prs
Prs.Quant.late-onset_Alzheimers_disease	10	0.06340420373241315	0.062328609814208805	1	Prs
