feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Meta.M00520	5	0.6571922996941229	0.6577413189625665	4	Meta
Prs.Disease.lung_adenocarcinoma	5	0.3941027190080546	0.41247357053613964	2	Prs
Prs.Disease.atopic_eczema	5	0.3941027190080548	0.3946087204341434	2	Prs
Prs.Disease.eye_color	5	0.30770610470131754	0.3157040515889252	1	Prs
Prs.Disease.kidney_stone	5	0.307706104701318	0.2729110902415536	1	Prs
Meta.M00112	5	0.18452409222476918	0.18899564426337317	1	Meta
Meta.M00501	5	0.18452409222476868	0.17792415175814685	1	Meta
