feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Prs.Quant.skin_aging_measurement	6	0.6001848814647529	0.6029695429181612	9	Prs
Phy.Reaction_time(s)	6	0.33076054284735673	0.3425392230667058	4	Phy
Meta.M00738	6	0.27117920751929886	0.32472764522161146	2	Meta
Meta.M00469	6	0.27117920751929886	0.32278356323843294	2	Meta
Meta.M00625	6	0.32194771469762595	0.2770094509465418	3	Meta
Meta.M00485	6	0.2711792075192989	0.26590342206856443	2	Meta
Meta.M00246	6	0.22559901417710237	0.19816417890647697	2	Meta
Meta.M00374	6	0.1748305069987753	0.1717394601744974	1	Meta
Meta.M00149	6	0.17483050699877525	0.16038943160382507	1	Meta
Meta.M00127	6	0.1748305069987753	0.15342422722193313	1	Meta
Meta.M00570	6	0.17483050699877525	0.15153868004449014	1	Meta
Prs.Quant.age_at_menopause	6	0.17428588972278283	0.13818325142332347	3	Prs
Meta.M00188	6	0.05076850717832711	0.04396183741920162	1	Meta
