feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Prs.Disease.squamous_cell_carcinoma	10	0.6858343030820387	0.6927173515458196	6	Prs
Meta.M00468	10	0.3420654602946462	0.3718140104584847	2	Meta
Meta.M00009	10	0.2744094387284074	0.314395751231439	1	Meta
Meta.M00028	10	0.27440943872840756	0.26636899975386047	1	Meta
Meta.M00614	10	0.27440943872840773	0.2575450033154148	1	Meta
Meta.M00153	10	0.2744094387284075	0.24931038741600797	1	Meta
Meta.M00116	10	0.2744094387284073	0.24635132212231867	1	Meta
Prs.Quant.hip_circumference	10	0.16909338328594897	0.1409686756141408	2	Prs
Meta.M00015	10	0.08055135354054643	0.052755447935290745	2	Meta
Prs.Quant.interleukin_18_measurement	10	0.03222943444873259	0.016446986439493605	1	Prs
