feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Prs.Quant.coffee_consumption	7	0.5857884726991144	0.6091364746633844	13	Prs
Prs.Quant.tissue_plasminogen_activator_measurement	7	0.39422141284144185	0.3560371669686774	9	Prs
Meta.M00230	7	0.24177744819548197	0.27225179693759344	2	Meta
Meta.M00232	7	0.24177744819548197	0.2318448220618893	2	Meta
Meta.M00280	7	0.2417774481954819	0.2312057940944026	2	Meta
Meta.M00091	7	0.14451940148889394	0.20687256839662962	1	Meta
Meta.M00668	7	0.15388572148424076	0.2034920769342925	2	Meta
Meta.M00711	7	0.241777448195482	0.18175062000746442	2	Meta
Meta.M00728	7	0.24177744819548183	0.1784677911813106	2	Meta
Meta.M00472	7	0.14451940148889394	0.16838368417321548	1	Meta
Meta.M00279	7	0.14451940148889394	0.16196279844144174	1	Meta
Meta.M00189	7	0.14451940148889397	0.1432801073807934	1	Meta
Meta.M00287	7	0.09725804670658797	0.14160214169627242	1	Meta
Meta.M00277	7	0.09725804670658804	0.13329968189339175	1	Meta
Meta.M00348	7	0.1445194014888939	0.131770082280891	1	Meta
Meta.M00227	7	0.14451940148889386	0.12398187066964805	1	Meta
Meta.M00422	7	0.14451940148889394	0.11027745586097652	1	Meta
Meta.M00306	7	0.09725804670658801	0.08056833653258423	1	Meta
Meta.M00529	7	0.09725804670658798	0.07252645033881756	1	Meta
Prs.Quant.risk-taking_behaviour	7	0.03796502219327943	0.046800544565020474	1	Prs
