feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Prs.Quant.D_dimer_measurement	8	0.40282618130439163	0.499171095777774	19	Prs
Prs.Disease.kidney_stone	8	0.2976399819639225	0.30852283024042737	12	Prs
Prs.Disease.Nephroblastoma	8	0.354304422618305	0.2754781291824498	16	Prs
Prs.Disease.polycystic_ovary_syndrome	8	0.29140978882038177	0.24391228857402075	11	Prs
Meta.M00325	8	0.21110055236422964	0.21106007170900018	5	Meta
Meta.M00697	8	0.21110055236422967	0.20932354352438698	5	Meta
Meta.M00571	8	0.2111005523642297	0.2044733610338869	5	Meta
Meta.M00575	8	0.21110055236422973	0.20325047028512574	5	Meta
Meta.M00326	8	0.21110055236422967	0.20309196556899162	5	Meta
Meta.M00821	8	0.21110055236422964	0.19871604391001643	5	Meta
Meta.M00720	8	0.18430994858549962	0.19233055158322163	4	Meta
Meta.M00696	8	0.18430994858549957	0.18675795983268048	4	Meta
Meta.M00339	8	0.18430994858549965	0.18158779653205798	4	Meta
Meta.M00709	8	0.16259157753193196	0.169368384370704	4	Meta
Meta.M00341	8	0.14630154509080281	0.1579744633101746	4	Meta
Prs.Quant.blood_osmolality_measurement	8	0.19567573704111424	0.14052077328112045	7	Prs
Meta.M00469	8	0.10366122200516634	0.11402624521611651	2	Meta
Meta.M00376	8	0.10366122200516645	0.11344357291829835	2	Meta
Meta.M00458	8	0.09590310850131417	0.11015322659849597	2	Meta
Meta.M00613	8	0.10366122200516636	0.10764102127427067	2	Meta
Meta.M00005	8	0.0959031085013142	0.10442043577102068	2	Meta
Meta.M00738	8	0.10366122200516634	0.1037516197993465	2	Meta
Meta.M00171	8	0.10366122200516639	0.09677859018589012	2	Meta
Meta.M00532	8	0.1036612220051664	0.09312153510586972	2	Meta
Prs.Disease.venous_thromboembolism	8	0.02003062201789554	0.022680133633864293	1	Prs
